1	There	_	EX	EX	_	2	expl	_	_
10	is	_	VBZ	VBZ	_	0	null	_	_
11	why	_	WRB	WRB	_	15	advmod	_	_
12	I	_	PRP	PRP	_	15	nsubjpass	_	_
13	was	_	VBD	VBD	_	15	auxpass	_	_
14	n't	_	RB	RB	_	15	neg	_	_
15	notified	_	VBN	VBN	_	10	advcl	_	_
16	immediately	_	RB	RB	_	17	dep	_	_
17	of	_	IN	IN	_	15	prep	_	_
18	my	_	PRP$	PRP$	_	19	poss	_	_
19	client	_	NN	NN	_	21	poss	_	_
20	's	_	POS	POS	_	19	possessive	_	_
21	detention	_	NN	NN	_	17	pobj	_	_
22	.	_	.	.	_	10	punct	_	_

1	He	_	PRP	PRP	_	2	nsubj	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	under	_	IN	IN	_	2	prep	_	_
4	arrest	_	NN	NN	_	3	pobj	_	_
5	.	_	.	.	_	2	punct	_	_

1	For	_	IN	IN	_	0	null	_	_
2	what	_	WP	WP	_	1	pobj	_	_
3	?	_	.	.	_	1	punct	_	_

1	Are	_	VBP	VBP	_	3	aux	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	referring	_	VBG	VBG	_	0	null	_	_
4	to	_	TO	TO	_	3	prep	_	_
5	involvement	_	NN	NN	_	4	pobj	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	8	det	_	_
8	homicide	_	NN	NN	_	6	pobj	_	_
9	and	_	CC	CC	_	8	cc	_	_
10	an	_	DT	DT	_	12	det	_	_
11	attempted	_	VBN	VBN	_	12	amod	_	_
12	homicide	_	NN	NN	_	8	conj	_	_
13	that	_	WDT	WDT	_	14	nsubj	_	_
14	occurred	_	VBD	VBD	_	12	rcmod	_	_
15	last	_	JJ	JJ	_	16	amod	_	_
16	night	_	NN	NN	_	14	tmod	_	_
17	and	_	CC	CC	_	8	cc	_	_
18	this	_	DT	DT	_	19	det	_	_
19	morning	_	NN	NN	_	8	conj	_	_
20	between	_	IN	IN	_	19	prep	_	_
21	the	_	DT	DT	_	22	det	_	_
22	hours	_	NNS	NNS	_	20	pobj	_	_
23	of	_	IN	IN	_	22	dep	_	_

1	9	_	CD	CD	_	0	null	_	_
2	:	_	:	:	_	1	punct	_	_
3	00	_	CD	CD	_	4	num	_	_
4	p.m.	_	NN	NN	_	1	dep	_	_
5	and	_	CC	CC	_	6	cc	_	_
6	8	_	CD	CD	_	4	num	_	_
7	:	_	:	:	_	4	punct	_	_
8	00	_	CD	CD	_	9	num	_	_
9	a.m.	_	NN	NN	_	4	dep	_	_
10	?	_	.	.	_	1	punct	_	_

1	Because	_	IN	IN	_	4	mark	_	_
2	I	_	PRP	PRP	_	4	nsubj	_	_
3	'm	_	VBP	VBP	_	4	cop	_	_
4	sure	_	JJ	JJ	_	0	null	_	_
5	that	_	IN	IN	_	9	complm	_	_
6	you	_	PRP	PRP	_	9	nsubj	_	_
7	would	_	MD	MD	_	9	aux	_	_
8	be	_	VB	VB	_	9	cop	_	_
9	interested	_	JJ	JJ	_	4	ccomp	_	_
10	to	_	TO	TO	_	11	aux	_	_
11	know	_	VB	VB	_	9	xcomp	_	_
12	that	_	IN	IN	_	15	complm	_	_
13	my	_	PRP$	PRP$	_	14	poss	_	_
14	client	_	NN	NN	_	15	nsubj	_	_
15	was	_	VBD	VBD	_	11	ccomp	_	_
16	at	_	IN	IN	_	15	prep	_	_
17	my	_	PRP$	PRP$	_	18	poss	_	_
18	office	_	NN	NN	_	16	pobj	_	_
19	with	_	IN	IN	_	15	prep	_	_
20	me	_	PRP	PRP	_	19	pobj	_	_
21	and	_	CC	CC	_	20	cc	_	_
22	my	_	PRP$	PRP$	_	23	poss	_	_
23	associates	_	NNS	NNS	_	20	conj	_	_
24	working	_	VBG	VBG	_	23	partmod	_	_
25	all	_	DT	DT	_	26	det	_	_
26	night	_	NN	NN	_	24	tmod	_	_
27	on	_	IN	IN	_	15	prep	_	_
28	the	_	DT	DT	_	29	det	_	_
29	lawsuit	_	NN	NN	_	27	pobj	_	_
30	we	_	PRP	PRP	_	32	nsubj	_	_
31	are	_	VBP	VBP	_	32	aux	_	_
32	filing	_	VBG	VBG	_	15	ccomp	_	_
33	against	_	IN	IN	_	32	prep	_	_
34	the	_	DT	DT	_	35	det	_	_
35	city	_	NN	NN	_	33	pobj	_	_
36	.	_	.	.	_	4	punct	_	_

1	And	_	CC	CC	_	0	null	_	_
2	the	_	DT	DT	_	4	det	_	_
3	personal	_	JJ	JJ	_	4	amod	_	_
4	lawsuit	_	NN	NN	_	1	dep	_	_
5	against	_	IN	IN	_	4	prep	_	_
6	you	_	PRP	PRP	_	5	pobj	_	_
7	,	_	,	,	_	4	punct	_	_
8	Sergeant	_	NNP	NNP	_	9	nn	_	_
9	Voight	_	NNP	NNP	_	4	appos	_	_
10	.	_	.	.	_	1	punct	_	_

1	Now	_	RB	RB	_	8	advmod	_	_
2	,	_	,	,	_	8	punct	_	_
3	are	_	VBP	VBP	_	8	aux	_	_
4	you	_	PRP	PRP	_	8	nsubj	_	_
5	really	_	RB	RB	_	6	advmod	_	_
6	sure	_	JJ	JJ	_	8	dep	_	_
7	you	_	PRP	PRP	_	8	nsubj	_	_
8	want	_	VBP	VBP	_	0	null	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	keep	_	VB	VB	_	8	xcomp	_	_
11	harassing	_	VBG	VBG	_	10	xcomp	_	_
12	him	_	PRP	PRP	_	11	dobj	_	_
13	?	_	.	.	_	8	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	assume	_	VBP	VBP	_	0	null	_	_
3	we	_	PRP	PRP	_	5	nsubj	_	_
4	're	_	VBP	VBP	_	5	cop	_	_
5	free	_	JJ	JJ	_	2	ccomp	_	_
6	to	_	TO	TO	_	7	aux	_	_
7	go	_	VB	VB	_	5	xcomp	_	_
8	?	_	.	.	_	2	punct	_	_

1	Oh	_	UH	UH	_	3	dep	_	_
2	,	_	,	,	_	3	punct	_	_
3	hey	_	NN	NN	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Alvin	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Yeah	_	UH	UH	_	3	dep	_	_
2	,	_	,	,	_	3	punct	_	_
3	kid	_	NN	NN	_	0	null	_	_
4	?	_	.	.	_	3	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	null	_	_
3	that	_	DT	DT	_	4	det	_	_
4	test	_	NN	NN	_	2	dobj	_	_
5	you	_	PRP	PRP	_	6	nsubj	_	_
6	asked	_	VBD	VBD	_	4	rcmod	_	_
7	for	_	IN	IN	_	6	prep	_	_
8	.	_	.	.	_	2	punct	_	_

1	What	_	WP	WP	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	The	_	DT	DT	_	3	det	_	_
2	DNA	_	NNP	NNP	_	3	nn	_	_
3	kit	_	NN	NN	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	just	_	RB	RB	_	3	advmod	_	_
3	swab	_	VB	VB	_	0	null	_	_
4	the	_	DT	DT	_	5	det	_	_
5	inside	_	NN	NN	_	3	dobj	_	_
6	of	_	IN	IN	_	5	prep	_	_
7	your	_	PRP$	PRP$	_	8	poss	_	_
8	mouth	_	NN	NN	_	6	pobj	_	_
9	,	_	,	,	_	3	punct	_	_
10	get	_	VBP	VBP	_	19	dep	_	_
11	a	_	DT	DT	_	12	det	_	_
12	sample	_	NN	NN	_	10	dobj	_	_
13	from	_	IN	IN	_	10	prep	_	_
14	your	_	PRP$	PRP$	_	15	poss	_	_
15	daughter	_	NN	NN	_	13	pobj	_	_
16	,	_	,	,	_	19	punct	_	_
17	maybe	_	RB	RB	_	19	advmod	_	_
18	your	_	PRP$	PRP$	_	19	poss	_	_
19	daughter	_	NN	NN	_	3	dobj	_	_
20	,	_	,	,	_	3	punct	_	_
21	seal	_	VB	VB	_	3	xcomp	_	_
22	it	_	PRP	PRP	_	21	dobj	_	_
23	up	_	RP	RP	_	21	prt	_	_
24	,	_	,	,	_	3	punct	_	_
25	send	_	VBP	VBP	_	3	conj	_	_
26	it	_	PRP	PRP	_	25	dobj	_	_
27	out	_	RP	RP	_	25	prt	_	_
28	.	_	.	.	_	3	punct	_	_

1	You	_	PRP	PRP	_	3	nsubj	_	_
2	'll	_	MD	MD	_	3	aux	_	_
3	get	_	VB	VB	_	0	null	_	_
4	the	_	DT	DT	_	5	det	_	_
5	results	_	NNS	NNS	_	3	dobj	_	_
6	in	_	IN	IN	_	5	prep	_	_
7	a	_	DT	DT	_	9	det	_	_
8	couple	_	NN	NN	_	9	nn	_	_
9	weeks	_	NNS	NNS	_	6	pobj	_	_
10	.	_	.	.	_	3	punct	_	_

1	Okay	_	NNP	NNP	_	0	null	_	_
2	,	_	,	,	_	1	punct	_	_
3	thanks	_	NNS	NNS	_	1	dep	_	_
4	.	_	.	.	_	1	punct	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	got	_	VBD	VBD	_	0	null	_	_
3	the	_	DT	DT	_	5	det	_	_
4	sealed	_	JJ	JJ	_	5	amod	_	_
5	transcript	_	NN	NN	_	2	dobj	_	_
6	from	_	IN	IN	_	2	prep	_	_
7	the	_	DT	DT	_	10	det	_	_
8	grand	_	JJ	JJ	_	10	amod	_	_
9	jury	_	NN	NN	_	10	nn	_	_
10	trial	_	NN	NN	_	6	pobj	_	_
11	on	_	IN	IN	_	10	prep	_	_
12	Beckett	_	NNP	NNP	_	11	pobj	_	_
13	.	_	.	.	_	2	punct	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	an	_	DT	DT	_	5	det	_	_
4	unidentified	_	JJ	JJ	_	5	amod	_	_
5	voice	_	NN	NN	_	2	nsubj	_	_
6	on	_	IN	IN	_	5	prep	_	_
7	the	_	DT	DT	_	8	det	_	_
8	wire	_	NN	NN	_	6	pobj	_	_
9	.	_	.	.	_	2	punct	_	_

1	Uhhuh	_	UH	UH	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	After	_	IN	IN	_	7	prep	_	_
2	the	_	DT	DT	_	3	det	_	_
3	raid	_	NN	NN	_	1	pobj	_	_
4	,	_	,	,	_	7	punct	_	_
5	this	_	DT	DT	_	6	det	_	_
6	guy	_	NN	NN	_	7	nsubj	_	_
7	's	_	VBZ	VBZ	_	0	null	_	_
8	on	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	8	pobj	_	_
10	tap	_	VB	VB	_	9	dep	_	_
11	telling	_	VBG	VBG	_	10	xcomp	_	_
12	Beckett	_	NNP	NNP	_	11	dobj	_	_
13	that	_	IN	IN	_	25	complm	_	_
14	guns	_	NNS	NNS	_	25	nsubjpass	_	_
15	,	_	,	,	_	14	punct	_	_
16	heroin	_	NN	NN	_	14	conj	_	_
17	,	_	,	,	_	14	punct	_	_
18	and	_	CC	CC	_	14	cc	_	_
19	$	_	$	$	_	14	conj	_	_
20	2	_	CD	CD	_	19	number	_	_
21	million	_	CD	CD	_	19	number	_	_
22	in	_	IN	IN	_	19	prep	_	_
23	cash	_	NN	NN	_	22	pobj	_	_
24	were	_	VBD	VBD	_	25	auxpass	_	_
25	seized	_	VBN	VBN	_	12	ccomp	_	_
26	by	_	IN	IN	_	25	prep	_	_
27	the	_	DT	DT	_	28	det	_	_
28	police	_	NN	NN	_	26	pobj	_	_
29	.	_	.	.	_	7	punct	_	_

1	Which	_	WDT	WDT	_	2	attr	_	_
2	is	_	VBZ	VBZ	_	0	null	_	_
3	,	_	,	,	_	2	nsubj	_	_
4	uh	_	UH	UH	_	3	dep	_	_
5	,	_	,	,	_	4	punct	_	_
6	where	_	WRB	WRB	_	8	advmod	_	_
7	there	_	EX	EX	_	8	expl	_	_
8	's	_	VBZ	VBZ	_	4	dep	_	_
9	a	_	DT	DT	_	10	det	_	_
10	discrepancy	_	NN	NN	_	8	nsubj	_	_
11	.	_	.	.	_	2	punct	_	_

1	Evidence	_	NN	NN	_	2	nn	_	_
2	tags	_	NNS	NNS	_	6	nsubj	_	_
3	from	_	IN	IN	_	2	prep	_	_
4	the	_	DT	DT	_	5	det	_	_
5	raid	_	NN	NN	_	3	pobj	_	_
6	show	_	VBP	VBP	_	0	null	_	_
7	that	_	IN	IN	_	9	complm	_	_
8	there	_	EX	EX	_	9	expl	_	_
9	was	_	VBD	VBD	_	6	ccomp	_	_
10	...	_	:	:	_	9	punct	_	_
11	one	_	CD	CD	_	12	number	_	_
12	million	_	CD	CD	_	9	nsubj	_	_
13	seized	_	VBD	VBD	_	12	dep	_	_
14	.	_	.	.	_	6	punct	_	_

1	Looks	_	NNS	NNS	_	4	nsubj	_	_
2	like	_	IN	IN	_	1	prep	_	_
3	Beckett	_	NNP	NNP	_	2	pobj	_	_
4	was	_	VBD	VBD	_	0	null	_	_
5	right	_	RB	RB	_	4	advmod	_	_
6	.	_	.	.	_	4	punct	_	_

1	There	_	EX	EX	_	2	expl	_	_
2	's	_	VBZ	VBZ	_	0	null	_	_
3	a	_	DT	DT	_	5	det	_	_
4	million	_	CD	CD	_	5	num	_	_
5	dollars	_	NNS	NNS	_	2	nsubj	_	_
6	missing	_	VBG	VBG	_	5	partmod	_	_
7	.	_	.	.	_	2	punct	_	_

1	Look	_	VB	VB	_	4	dep	_	_
2	,	_	,	,	_	4	punct	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	remember	_	VBP	VBP	_	0	null	_	_
5	where	_	WRB	WRB	_	8	advmod	_	_
6	your	_	PRP$	PRP$	_	7	poss	_	_
7	head	_	NN	NN	_	8	nsubj	_	_
8	was	_	VBD	VBD	_	4	advcl	_	_
9	back	_	RB	RB	_	8	advmod	_	_
10	then	_	RB	RB	_	8	advmod	_	_
11	.	_	.	.	_	4	punct	_	_

1	Meaning	_	NN	NN	_	0	null	_	_
2	?	_	.	.	_	1	punct	_	_

1	Meaning	_	VBG	VBG	_	0	null	_	_
2	you	_	PRP	PRP	_	4	nsubjpass	_	_
3	were	_	VBD	VBD	_	4	auxpass	_	_
4	jammed	_	VBN	VBN	_	1	ccomp	_	_
5	up	_	RP	RP	_	4	prt	_	_
6	on	_	IN	IN	_	4	prep	_	_
7	some	_	DT	DT	_	9	det	_	_
8	bad	_	JJ	JJ	_	9	amod	_	_
9	investments	_	NNS	NNS	_	6	pobj	_	_
10	.	_	.	.	_	1	punct	_	_

1	Underwater	_	NN	NN	_	0	null	_	_
2	on	_	IN	IN	_	1	prep	_	_
3	your	_	PRP$	PRP$	_	4	poss	_	_
4	house	_	NN	NN	_	2	pobj	_	_
5	.	_	.	.	_	1	punct	_	_

1	Asked	_	VBN	VBN	_	0	null	_	_
2	me	_	PRP	PRP	_	1	dobj	_	_
3	and	_	CC	CC	_	2	cc	_	_
4	Camille	_	NNP	NNP	_	2	conj	_	_
5	for	_	IN	IN	_	1	prep	_	_
6	a	_	DT	DT	_	7	det	_	_
7	floater	_	NN	NN	_	5	pobj	_	_
8	.	_	.	.	_	1	punct	_	_

1	Did	_	NNP	NNP	_	3	nsubj	_	_
2	n't	_	RB	RB	_	3	neg	_	_
3	want	_	VBP	VBP	_	0	null	_	_
4	Meredith	_	NNP	NNP	_	6	nsubj	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	know	_	VB	VB	_	3	xcomp	_	_
7	.	_	.	.	_	3	punct	_	_

1	Which	_	WDT	WDT	_	3	dobj	_	_
2	I	_	PRP	PRP	_	3	nsubj	_	_
3	paid	_	VBD	VBD	_	0	null	_	_
4	back	_	RB	RB	_	3	advmod	_	_
5	to	_	TO	TO	_	4	dep	_	_
6	the	_	DT	DT	_	7	det	_	_
7	penny	_	NN	NN	_	5	pobj	_	_
8	.	_	.	.	_	3	punct	_	_

1	Al	_	NNP	NNP	_	6	nsubj	_	_
2	,	_	,	,	_	6	punct	_	_
3	I	_	PRP	PRP	_	6	nsubj	_	_
4	'm	_	VBP	VBP	_	6	aux	_	_
5	not	_	RB	RB	_	6	neg	_	_
6	gon	_	VBG	VBG	_	0	null	_	_
7	na	_	TO	TO	_	6	xcomp	_	_
8	lose	_	VB	VB	_	9	dep	_	_
9	respect	_	NN	NN	_	7	dep	_	_
10	for	_	IN	IN	_	9	prep	_	_
11	you	_	PRP	PRP	_	10	pobj	_	_
12	.	_	.	.	_	6	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	just	_	RB	RB	_	3	advmod	_	_
3	got	_	VBD	VBD	_	0	null	_	_
4	to	_	TO	TO	_	5	aux	_	_
5	know	_	VB	VB	_	3	xcomp	_	_
6	what	_	WP	WP	_	9	dobj	_	_
7	I	_	PRP	PRP	_	9	nsubj	_	_
8	'm	_	VBP	VBP	_	9	aux	_	_
9	dealing	_	VBG	VBG	_	5	ccomp	_	_
10	with	_	IN	IN	_	9	prep	_	_
11	here	_	RB	RB	_	9	advmod	_	_
12	so	_	IN	IN	_	15	mark	_	_
13	I	_	PRP	PRP	_	15	nsubj	_	_
14	can	_	MD	MD	_	15	aux	_	_
15	move	_	VB	VB	_	5	advcl	_	_
16	forward	_	RB	RB	_	15	advmod	_	_
17	.	_	.	.	_	3	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	6	advcl	_	_
3	,	_	,	,	_	6	punct	_	_
4	I	_	PRP	PRP	_	6	nsubj	_	_
5	've	_	VBP	VBP	_	6	aux	_	_
6	done	_	VBN	VBN	_	0	null	_	_
7	a	_	DT	DT	_	8	det	_	_
8	lot	_	NN	NN	_	6	dobj	_	_
9	of	_	IN	IN	_	8	prep	_	_
10	questionable	_	JJ	JJ	_	11	amod	_	_
11	things	_	NNS	NNS	_	9	pobj	_	_
12	.	_	.	.	_	6	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	'll	_	MD	MD	_	3	aux	_	_
3	admit	_	VB	VB	_	0	null	_	_
4	that	_	IN	IN	_	3	dobj	_	_
5	.	_	.	.	_	3	punct	_	_

1	But	_	CC	CC	_	5	cc	_	_
2	I	_	PRP	PRP	_	5	nsubj	_	_
3	've	_	VBP	VBP	_	5	aux	_	_
4	never	_	RB	RB	_	5	neg	_	_
5	taken	_	VBN	VBN	_	0	null	_	_
6	a	_	DT	DT	_	8	det	_	_
7	damn	_	JJ	JJ	_	8	amod	_	_
8	dime	_	NN	NN	_	5	dobj	_	_
9	in	_	IN	IN	_	5	prep	_	_
10	my	_	PRP$	PRP$	_	11	poss	_	_
11	life	_	NN	NN	_	9	pobj	_	_
12	.	_	.	.	_	5	punct	_	_

1	Al	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	No	_	UH	UH	_	3	dep	_	_
2	,	_	,	,	_	3	punct	_	_
3	Hank	_	NNP	NNP	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Seriously	_	RB	RB	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	Screw	_	NNP	NNP	_	0	null	_	_
2	yourself	_	PRP	PRP	_	1	dep	_	_
3	,	_	,	,	_	1	punct	_	_
4	man	_	NN	NN	_	1	appos	_	_
5	.	_	.	.	_	1	punct	_	_

1	Hey	_	NNP	NNP	_	0	null	_	_
2	,	_	,	,	_	1	punct	_	_
3	Burgess	_	NNP	NNP	_	1	appos	_	_
4	,	_	,	,	_	1	punct	_	_
5	headsup	_	NN	NN	_	1	appos	_	_
6	.	_	.	.	_	1	punct	_	_

1	We	_	PRP	PRP	_	2	nsubj	_	_
2	're	_	VBP	VBP	_	0	null	_	_
3	on	_	IN	IN	_	2	prep	_	_
4	a	_	DT	DT	_	5	det	_	_
5	stakeout	_	NN	NN	_	3	pobj	_	_
6	.	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	2	nsubj	_	_
2	mean	_	VBP	VBP	_	0	null	_	_
3	,	_	,	,	_	2	punct	_	_
4	sure	_	JJ	JJ	_	2	acomp	_	_
5	.	_	.	.	_	2	punct	_	_

1	Adam	_	NNP	NNP	_	2	nsubj	_	_
2	is	_	VBZ	VBZ	_	0	null	_	_
3	really	_	RB	RB	_	2	advmod	_	_
4	into	_	IN	IN	_	2	prep	_	_
5	the	_	DT	DT	_	6	det	_	_
6	engagement	_	NN	NN	_	4	pobj	_	_
7	,	_	,	,	_	2	punct	_	_
8	but	_	CC	CC	_	2	cc	_	_
9	that	_	DT	DT	_	13	nsubj	_	_
10	's	_	VBZ	VBZ	_	13	cop	_	_
11	a	_	DT	DT	_	13	det	_	_
12	good	_	JJ	JJ	_	13	amod	_	_
13	thing	_	NN	NN	_	2	conj	_	_
14	,	_	,	,	_	13	punct	_	_
15	right	_	RB	RB	_	13	advmod	_	_
16	?	_	.	.	_	2	punct	_	_

1	Like	_	IN	IN	_	0	null	_	_
2	,	_	,	,	_	1	pobj	_	_
3	so	_	IN	IN	_	2	dep	_	_
4	what	_	WP	WP	_	3	pcomp	_	_
5	if	_	IN	IN	_	9	mark	_	_
6	he	_	PRP	PRP	_	9	nsubjpass	_	_
7	's	_	VBZ	VBZ	_	9	auxpass	_	_
8	been	_	VBN	VBN	_	9	auxpass	_	_
9	engaged	_	VBN	VBN	_	4	dep	_	_
10	twice	_	RB	RB	_	11	advmod	_	_
11	before	_	RB	RB	_	9	advmod	_	_
12	?	_	.	.	_	1	punct	_	_

1	I	_	PRP	PRP	_	4	nsubj	_	_
2	would	_	MD	MD	_	4	aux	_	_
3	rather	_	RB	RB	_	4	advmod	_	_
4	have	_	VB	VB	_	0	null	_	_
5	somebody	_	NN	NN	_	4	dobj	_	_
6	excited	_	VBN	VBN	_	5	partmod	_	_
7	about	_	IN	IN	_	6	prep	_	_
8	wanting	_	VBG	VBG	_	7	pcomp	_	_
9	to	_	TO	TO	_	10	aux	_	_
10	marry	_	VB	VB	_	8	xcomp	_	_
11	me	_	PRP	PRP	_	10	dobj	_	_
12	than	_	IN	IN	_	10	prep	_	_
13	moping	_	VBG	VBG	_	12	pcomp	_	_
14	around	_	RP	RP	_	13	prt	_	_
15	like	_	IN	IN	_	13	prep	_	_
16	Debbie	_	NNP	NNP	_	17	nn	_	_
17	Downer	_	NNP	NNP	_	15	pobj	_	_
18	.	_	.	.	_	4	punct	_	_

1	You	_	PRP	PRP	_	2	nsubj	_	_
2	know	_	VBP	VBP	_	0	null	_	_
3	?	_	.	.	_	2	punct	_	_

1	I	_	PRP	PRP	_	3	nsubj	_	_
2	'm	_	VBP	VBP	_	3	aux	_	_
3	asking	_	VBG	VBG	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	That	_	DT	DT	_	4	nsubj	_	_
2	's	_	VBZ	VBZ	_	4	aux	_	_
3	me	_	PRP	PRP	_	4	nsubj	_	_
4	asking	_	VBG	VBG	_	0	null	_	_
5	.	_	.	.	_	4	punct	_	_

1	Well	_	RB	RB	_	4	advmod	_	_
2	...	_	:	:	_	4	punct	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	had	_	VBD	VBD	_	0	null	_	_
5	a	_	DT	DT	_	6	det	_	_
6	cousin	_	NN	NN	_	4	dobj	_	_
7	who	_	WP	WP	_	9	nsubjpass	_	_
8	was	_	VBD	VBD	_	9	auxpass	_	_
9	engaged	_	VBN	VBN	_	6	rcmod	_	_
10	five	_	CD	CD	_	11	num	_	_
11	times	_	NNS	NNS	_	9	tmod	_	_
12	.	_	.	.	_	4	punct	_	_

1	Never	_	RB	RB	_	2	neg	_	_
2	married	_	VBN	VBN	_	0	null	_	_
3	.	_	.	.	_	2	punct	_	_

1	What	_	WP	WP	_	2	nsubj	_	_
2	d	_	VBZ	VBZ	_	0	null	_	_
3	...	_	:	:	_	2	punct	_	_
4	what	_	WP	WP	_	7	dobj	_	_
5	does	_	VBZ	VBZ	_	7	aux	_	_
6	that	_	RB	RB	_	7	nsubj	_	_
7	mean	_	VB	VB	_	2	ccomp	_	_
8	?	_	.	.	_	2	punct	_	_

1	Some	_	DT	DT	_	2	det	_	_
2	people	_	NNS	NNS	_	0	null	_	_
3	like	_	IN	IN	_	6	mark	_	_
4	the	_	DT	DT	_	5	det	_	_
5	movie	_	NN	NN	_	6	nsubj	_	_
6	trailers	_	VBZ	VBZ	_	2	dep	_	_
7	more	_	JJR	JJR	_	6	dobj	_	_
8	than	_	IN	IN	_	7	prep	_	_
9	the	_	DT	DT	_	10	det	_	_
10	movie	_	NN	NN	_	8	pobj	_	_
11	.	_	.	.	_	2	punct	_	_

1	Hey	_	NNP	NNP	_	0	null	_	_
2	.	_	.	.	_	1	punct	_	_

1	How	_	WRB	WRB	_	5	advmod	_	_
2	are	_	VBP	VBP	_	5	aux	_	_
3	those	_	DT	DT	_	4	det	_	_
4	shots	_	NNS	NNS	_	5	nsubj	_	_
5	going	_	VBG	VBG	_	0	null	_	_
6	?	_	.	.	_	5	punct	_	_

1	They	_	PRP	PRP	_	2	nsubj	_	_
2	suck	_	VBP	VBP	_	0	null	_	_
3	,	_	,	,	_	2	punct	_	_
4	but	_	CC	CC	_	2	cc	_	_
5	they	_	PRP	PRP	_	6	nsubj	_	_
6	're	_	VBP	VBP	_	2	conj	_	_
7	worth	_	IN	IN	_	6	prep	_	_
8	it	_	PRP	PRP	_	7	pobj	_	_
9	.	_	.	.	_	2	punct	_	_

1	Andrew	_	NNP	NNP	_	3	nsubj	_	_
2	will	_	MD	MD	_	3	aux	_	_
3	get	_	VB	VB	_	0	null	_	_
4	my	_	PRP$	PRP$	_	6	poss	_	_
5	bone	_	NN	NN	_	6	nn	_	_
6	marrow	_	NN	NN	_	3	dobj	_	_
7	,	_	,	,	_	3	punct	_	_
8	and	_	CC	CC	_	3	cc	_	_
9	he	_	PRP	PRP	_	15	nsubj	_	_
10	'll	_	MD	MD	_	15	aux	_	_
11	be	_	VB	VB	_	15	cop	_	_
12	a	_	DT	DT	_	15	det	_	_
13	new	_	JJ	JJ	_	15	amod	_	_
14	little	_	JJ	JJ	_	15	amod	_	_
15	man	_	NN	NN	_	3	conj	_	_
16	.	_	.	.	_	3	punct	_	_

1	As	_	RB	RB	_	2	advmod	_	_
2	long	_	RB	RB	_	13	advmod	_	_
3	as	_	IN	IN	_	5	mark	_	_
4	he	_	PRP	PRP	_	5	nsubj	_	_
5	gets	_	VBZ	VBZ	_	13	advcl	_	_
6	a	_	DT	DT	_	8	det	_	_
7	long	_	JJ	JJ	_	8	amod	_	_
8	life	_	NN	NN	_	5	dobj	_	_
9	,	_	,	,	_	13	punct	_	_
10	I	_	PRP	PRP	_	13	nsubj	_	_
11	do	_	VBP	VBP	_	13	aux	_	_
12	n't	_	RB	RB	_	13	neg	_	_
13	care	_	VB	VB	_	0	null	_	_
14	.	_	.	.	_	13	punct	_	_

1	Yeah	_	UH	UH	_	4	dep	_	_
2	,	_	,	,	_	4	punct	_	_
3	I	_	PRP	PRP	_	4	nsubj	_	_
4	want	_	VBP	VBP	_	0	null	_	_
5	to	_	TO	TO	_	6	aux	_	_
6	order	_	VB	VB	_	4	xcomp	_	_
7	a	_	DT	DT	_	8	det	_	_
8	taxi	_	NN	NN	_	6	dobj	_	_
9	.	_	.	.	_	4	punct	_	_

1	There	_	EX	EX	_	3	expl	_	_
2	you	_	PRP	PRP	_	3	nsubj	_	_
3	go	_	VBP	VBP	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

1	Good	_	JJ	JJ	_	3	advmod	_	_
2	,	_	,	,	_	3	punct	_	_
3	good	_	JJ	JJ	_	0	null	_	_
4	.	_	.	.	_	3	punct	_	_

